[2020.09.08 10:35:26 / lib_ea_2.mqh:1960][lib_ea_2.mqh:1948] op_Post_Take_Position
[lib_ea_2.mqh:1953]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200908_103526).(tickets-data).log

[2020.09.08 10:35:26 / lib_ea_2.mqh:2109]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.08 10:35:26 / lib_ea_2.mqh:1960][lib_ea_2.mqh:1948] op_Post_Take_Position
[lib_ea_2.mqh:1953]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200908_103526).(tickets-data).log

[2020.09.08 10:35:26 / lib_ea_2.mqh:2109]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.08 10:39:34 / lib_ea_2.mqh:2414]	28365591	2020.09.08 04:40:00	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	77.372	77.364	77.34	-1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-4	2	-2	1	-4	-3	3	2	-3	4	-1	-3	55.67378	50.71858	45.14762	46.87902	42.25774	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	-0.507	-0.4964	-0.7912	-0.6555	-1.4878	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	6	5	5	5	6	6	5	5	5	3	3	4	
[2020.09.08 10:44:31 / lib_ea_2.mqh:2414]	28365620	2020.09.08 04:45:00	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	2	-2	1	-4	-3	3	2	-3	4	-1	-3	-1	50.71858	45.14762	46.87902	42.25774	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	-0.4964	-0.7912	-0.6555	-1.4878	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	5	5	5	6	6	5	5	5	3	3	4	4	
[2020.09.08 10:49:26 / lib_ea_2.mqh:2414]	28365669	2020.09.08 04:50:00	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-2	1	-4	-3	3	2	-3	4	-1	-3	-1	3	45.14762	46.87902	42.25774	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	-0.7912	-0.6555	-1.4878	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	5	5	6	6	5	5	5	3	3	4	4	3	
[2020.09.08 10:54:24 / lib_ea_2.mqh:2414]	28365712	2020.09.08 04:55:00	77.351	77.31	77.282	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	1	-4	-3	3	2	-3	4	-1	-3	-1	3	-2	46.87902	42.25774	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	-0.6555	-1.4878	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	5	6	6	5	5	5	3	3	4	4	3	3	
[2020.09.08 10:59:24 / lib_ea_2.mqh:2414]	28365912	2020.09.08 05:00:00	77.31	77.282	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	0.006	-4	-3	3	2	-3	4	-1	-3	-1	3	-2	1	42.25774	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	-1.4878	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	6	6	5	5	5	3	3	4	4	3	3	3	
[2020.09.08 11:04:14 / lib_ea_2.mqh:2414]	28366037	2020.09.08 05:05:00	77.282	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-0.027	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	0.006	0.005	-3	3	2	-3	4	-1	-3	-1	3	-2	1	1	37.98607	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	6	5	5	5	3	3	4	4	3	3	3	3	
[2020.09.08 11:09:03 / lib_ea_2.mqh:2414]	28366074	2020.09.08 05:10:00	77.312	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	0.03	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	0.006	0.005	-0.016	3	2	-3	4	-1	-3	-1	3	-2	1	1	-2	42.49969	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	42.45352	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	-1.045	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	5	5	5	3	3	4	4	3	3	3	3	3	
[2020.09.08 11:13:41 / lib_ea_2.mqh:2414]	28366108	2020.09.08 05:15:00	77.327	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	0.015	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	0.006	0.005	-0.016	0.017	2	-3	4	-1	-3	-1	3	-2	1	1	-2	2	46.42729	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	45.06929	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	-0.27485	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	5	5	3	3	4	4	3	3	3	3	3	3	
[2020.09.08 11:18:37 / lib_ea_2.mqh:2414]	28366129	2020.09.08 05:20:00	77.306	77.372	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-0.021	0.065	-0.008	-0.024	-0.004	0.027	-0.013	0.006	0.005	-0.016	0.017	-0.005	-3	4	-1	-3	-1	3	-2	1	1	-2	2	-1	43.55646	44.62355	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	42.23981	52.17322	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	-0.6161	0.0458	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	5	3	3	4	4	3	3	3	3	3	3	3	
