[09/29/2020 14:16:13 / FxUtilitiesController.php:623]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200910_093548).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200929_141613_048396).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200910_093548[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28413915	2020.09.10 05:15:00	77.137	77.16200000000001	77.17	77.15300000000001	77.134	77.119	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-0.016	0.024	0.013	-0.016	-0.018	-0.014	0.02	0.001	0.036	-0.023	-0.008	0.013	-2	3	2	-2	-2	-2	2	1	4	-3	-1	2	40.42443	45.11203	46.40284	42.57565	42.22243	42.86717	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	33.12833	37.61773	38.99724	37.15916	35.20691	33.73407	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	-2.7634	-2.4576	-1.96175	-2.83815	-2.31725	-3.24675	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	5	5	4	5	5	5	4	4	4	4	4	4	28413915	2020.09.10 05:19:07	buy	0.10	audjpy	77.170	77.112	77.262	2020.09.10 06:49:58	77.112	-580
2	28413935	2020.09.10 05:20:00	77.16200000000001	77.17	77.15300000000001	77.134	77.119	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	0.024	0.013	-0.016	-0.018	-0.014	0.02	0.001	0.036	-0.023	-0.008	0.013	0	3	2	-2	-2	-2	2	1	4	-3	-1	2	-1	45.11203	46.40284	42.57565	42.22243	42.86717	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.61773	38.99724	37.15916	35.20691	33.73407	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	-2.4576	-1.96175	-2.83815	-2.31725	-3.24675	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	5	4	5	5	5	4	4	4	4	4	4	3	28413935	2020.09.10 05:21:11	buy	0.10	audjpy	77.157	77.098	77.248	2020.09.10 07:02:42	77.098	-590
3	28413972	2020.09.10 05:25:00	77.17	77.15300000000001	77.134	77.119	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	0.013	-0.016	-0.018	-0.014	0.02	0.001	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	2	-2	-2	-2	2	1	4	-3	-1	2	-1	-1	46.40284	42.57565	42.22243	42.86717	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	38.99724	37.15916	35.20691	33.73407	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	-1.96175	-2.83815	-2.31725	-3.24675	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	4	5	5	5	4	4	4	4	4	4	3	4	28413972	2020.09.10 05:25:03	buy	0.10	audjpy	77.160	77.101	77.251	2020.09.10 07:02:36	77.101	-590
4	28414154	2020.09.10 05:35:00	77.134	77.119	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	-1	-1	1	1	1	-1	-1	1	1	-1	1	1	-0.018	-0.014	0.02	0.001	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-2	-2	2	1	4	-3	-1	2	-1	-1	3	1	42.22243	42.86717	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	35.20691	33.73407	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	-2.31725	-3.24675	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	5	5	4	4	4	4	4	4	3	4	2	2	28414154	2020.09.10 05:37:25	buy	0.10	audjpy	77.155	77.097	77.247	2020.09.10 07:02:42	77.097	-580
5	28414180	2020.09.10 05:40:00	77.119	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	-1	1	1	1	-1	-1	1	1	-1	1	1	-1	-0.014	0.02	0.001	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	-2	2	1	4	-3	-1	2	-1	-1	3	1	-3	42.86717	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	33.73407	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	-3.24675	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	5	4	4	4	4	4	4	3	4	2	2	4	28414180	2020.09.10 05:40:01	buy	0.10	audjpy	77.153	77.094	77.244	2020.09.10 07:14:16	77.094	-590
6	28414212	2020.09.10 05:45:00	77.14	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	1	1	1	-1	-1	1	1	-1	1	1	-1	1	0.02	0.001	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	2	1	4	-3	-1	2	-1	-1	3	1	-3	3	42.66121	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	37.58211	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	-2.817	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	4	4	4	4	4	4	3	4	2	2	4	3	28414212	2020.09.10 05:45:01	buy	0.10	audjpy	77.181	77.121	77.271	2020.09.10 06:09:05	77.121	-600
7	28414250	2020.09.10 05:50:00	77.142	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	1	1	-1	-1	1	1	-1	1	1	-1	1	1	0.001	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	1	4	-3	-1	2	-1	-1	3	1	-3	3	1	37.65455	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	37.94338	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	-2.47995	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	4	4	4	4	4	3	4	2	2	4	3	2	28414250	2020.09.10 05:50:09	buy	0.10	audjpy	77.185	77.125	77.275	2020.09.10 06:08:21	77.125	-600
8	28414290	2020.09.10 05:55:00	77.17700000000001	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	1	-1	-1	1	1	-1	1	1	-1	1	1	1	0.036	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	4	-3	-1	2	-1	-1	3	1	-3	3	1	1	39.09268	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	43.92227	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	-2.4747	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	4	4	4	4	3	4	2	2	4	3	2	2	28414290	2020.09.10 05:55:01	buy	0.10	audjpy	77.192	77.133	77.283	2020.09.10 06:07:50	77.133	-590
9	28414419	2020.09.10 06:00:00	77.155	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	-1	-1	1	1	-1	1	1	-1	1	1	1	-1	-0.023	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	-3	-1	2	-1	-1	3	1	-3	3	1	1	-4	38.41513	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	41.29012	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	-2.07045	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	4	4	4	3	4	2	2	4	3	2	2	4	28414419	2020.09.10 06:00:01	buy	0.10	audjpy	77.159	77.100	77.250	2020.09.10 07:02:36	77.100	-590
10	28414469	2020.09.10 06:05:00	77.14700000000001	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	-1	1	1	-1	1	1	-1	1	1	1	-1	1	-0.008	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-1	2	-1	-1	3	1	-3	3	1	1	-4	3	37.85741	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	40.36422	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	-2.064	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	4	4	3	4	2	2	4	3	2	2	4	3	28414469	2020.09.10 06:05:00	buy	0.10	audjpy	77.183	77.123	77.273	2020.09.10 06:08:30	77.123	-600
