[2020.09.10 09:39:26 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200910_093925).(tickets-data).log

[2020.09.10 09:39:26 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.10 09:40:03 / lib_ea_2.mqh:2427]	28412523	2020.09.10 03:40:00	106.213	106.214	106.218	106.233	106.27	106.228	106.223	106.224	106.234	106.244	106.252	106.269	-1	1	1	1	1	-1	-1	1	1	1	1	1	-0.001	0.003	0.002	0.015	0.036	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-1	1	1	2	4	-4	-1	1	2	2	1	2	57.00116	55.35701	58.47132	59.85813	64.03449000000001	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	56.85442	57.12014	58.20398	61.99583	69.24136	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	0.1617	0.3591	0.2075	0.3618	1.3356	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	2	2	2	1	1	2	3	3	2	2	2	1	
[2020.09.10 09:45:07 / lib_ea_2.mqh:2427]	28412577	2020.09.10 03:45:00	106.214	106.218	106.233	106.27	106.228	106.223	106.224	106.234	106.244	106.252	106.269	106.245	1	1	1	1	-1	-1	1	1	1	1	1	-1	0.003	0.002	0.015	0.036	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	1	1	2	4	-4	-1	1	2	2	1	2	-3	55.35701	58.47132	59.85813	64.03449000000001	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	57.12014	58.20398	61.99583	69.24136	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	0.3591	0.2075	0.3618	1.3356	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	2	2	1	1	2	3	3	2	2	2	1	3	
[2020.09.10 09:49:59 / lib_ea_2.mqh:2427]	28412605	2020.09.10 03:50:00	106.218	106.233	106.27	106.228	106.223	106.224	106.234	106.244	106.252	106.269	106.245	106.229	1	1	1	-1	-1	1	1	1	1	1	-1	-1	0.002	0.015	0.036	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	1	2	4	-4	-1	1	2	2	1	2	-3	-2	58.47132	59.85813	64.03449000000001	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	58.20398	61.99583	69.24136	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	0.2075	0.3618	1.3356	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	2	1	1	2	3	3	2	2	2	1	3	3	
[2020.09.10 09:55:00 / lib_ea_2.mqh:2427]	28412746	2020.09.10 03:50:00	106.218	106.233	106.27	106.228	106.223	106.224	106.234	106.244	106.252	106.269	106.245	106.229	1	1	1	-1	-1	1	1	1	1	1	-1	-1	0.002	0.015	0.036	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	1	2	4	-4	-1	1	2	2	1	2	-3	-2	58.47132	59.85813	64.03449000000001	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	58.20398	61.99583	69.24136	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	0.2075	0.3618	1.3356	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	2	1	1	2	3	3	2	2	2	1	3	3	
[2020.09.10 09:59:59 / lib_ea_2.mqh:2427]	28412807	2020.09.10 04:00:00	106.27	106.228	106.223	106.224	106.234	106.244	106.252	106.269	106.245	106.229	106.201	106.181	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	0.036	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	4	-4	-1	1	2	2	1	2	-3	-2	-3	-2	64.03449000000001	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	69.24136	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	1.3356	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	1	2	3	3	2	2	2	1	3	3	5	5	
[2020.09.10 10:05:00 / lib_ea_2.mqh:2427]	28412915	2020.09.10 04:05:00	106.228	106.223	106.224	106.234	106.244	106.252	106.269	106.245	106.229	106.201	106.181	106.18	-1	-1	1	1	1	1	1	-1	-1	-1	-1	1	-0.041	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-4	-1	1	2	2	1	2	-3	-2	-3	-2	-1	57.1338	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	56.39444	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	0.3072	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	2	3	3	2	2	2	1	3	3	5	5	5	
[2020.09.10 10:09:59 / lib_ea_2.mqh:2427]	28412975	2020.09.10 04:10:00	106.223	106.224	106.234	106.244	106.252	106.269	106.245	106.229	106.201	106.181	106.18	106.178	-1	1	1	1	1	1	-1	-1	-1	-1	1	-1	-0.005	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	-1	1	2	2	1	2	-3	-2	-3	-2	-1	-1	51.21019	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	55.11304	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	0.1185	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	3	3	2	2	2	1	3	3	5	5	5	5	
[2020.09.10 10:15:00 / lib_ea_2.mqh:2427]	28413025	2020.09.10 04:15:00	106.224	106.234	106.244	106.252	106.269	106.245	106.229	106.201	106.181	106.18	106.178	106.182	1	1	1	1	1	-1	-1	-1	-1	1	-1	1	0.001	0.01	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	1	2	2	1	2	-3	-2	-3	-2	-1	-1	1	48.40007	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	55.32674	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	0.0825	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	3	2	2	2	1	3	3	5	5	5	5	5	
[2020.09.10 10:19:59 / lib_ea_2.mqh:2427]	28413066	2020.09.10 04:20:00	106.234	106.244	106.252	106.269	106.245	106.229	106.201	106.181	106.18	106.178	106.182	106.204	1	1	1	1	-1	-1	-1	-1	1	-1	1	1	0.01	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	2	2	1	2	-3	-2	-3	-2	-1	-1	1	3	51.23636	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	57.45865	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	0.3107	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	2	2	2	1	3	3	5	5	5	5	5	4	
[2020.09.10 10:25:01 / lib_ea_2.mqh:2427]	28413119	2020.09.10 04:25:00	106.244	106.252	106.269	106.245	106.229	106.201	106.181	106.18	106.178	106.182	106.204	106.225	1	1	1	-1	-1	-1	-1	1	-1	1	1	1	0.01	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	2	1	2	-3	-2	-3	-2	-1	-1	1	3	3	57.9798	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	59.49346	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	0.7242	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	2	2	1	3	3	5	5	5	5	5	4	3	
