[2020.09.14 09:55:55 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200914_095555).(tickets-data).log

[2020.09.14 09:55:55 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.14 09:55:55 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200914_095555).(tickets-data).log

[2020.09.14 09:55:55 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.14 10:00:01 / lib_ea_2.mqh:2427]	28462539	2020.09.14 04:00:00	106.122	106.112	106.128	106.129	106.142	106.145	106.145	106.143	106.155	106.156	106.159	106.139	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-0.026	-0.007	0.016	0.002	0.014	0.005	0.002	-0.002	0.012	0.001	0.003	-0.019	-3	-1	2	1	2	1	1	-1	2	1	1	-2	62.63943	56.41193	60.56374	62.04813	64.30997000000001	69.855	65.70479	69.57380000000001	73.64892	74.46796000000001	65.33212	60.08063	50.10909	46.96459	52.03408	52.33384	56.08897	56.91351	56.91351	56.13488	59.62364	59.90338	60.76186	52.82498	0.10175	-0.12915	0.0477	-0.00495	0.1494	0.2457	0.2415	0.18125	0.1606	0.22345	0.2806	0.04655	4	5	4	4	3	2	3	3	2	2	2	4	
[2020.09.14 10:05:01 / lib_ea_2.mqh:2427]	28462608	2020.09.14 04:05:00	106.112	106.128	106.129	106.142	106.145	106.145	106.143	106.155	106.156	106.159	106.139	106.125	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-0.007	0.016	0.002	0.014	0.005	0.002	-0.002	0.012	0.001	0.003	-0.019	-0.015	-1	2	1	2	1	1	-1	2	1	1	-2	-2	56.41193	60.56374	62.04813	64.30997000000001	69.855	65.70479	69.57380000000001	73.64892	74.46796000000001	65.33212	60.08063	55.56639	46.96459	52.03408	52.33384	56.08897	56.91351	56.91351	56.13488	59.62364	59.90338	60.76186	52.82498	48.18705	-0.12915	0.0477	-0.00495	0.1494	0.2457	0.2415	0.18125	0.1606	0.22345	0.2806	0.04655	-0.0635	5	4	4	3	2	3	3	2	2	2	4	5	
