[2020.11.26 11:00:08 / lib_ea_2.mqh:2506][lib_ea_2.mqh:2494] op_Post_Take_Position
[lib_ea_2.mqh:2499]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201126_110008).(tickets-data).log

[2020.11.26 11:00:08 / lib_ea_2.mqh:2694]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	num-up-bars	num-down-bars	up/down-ratio	price-max	BB.loc	prev-N-bar	price-min	BB.loc	prev-N-bar	
[2020.11.26 11:04:56 / lib_ea_2.mqh:3176]	29276649	2020.11.26 04:05:00	76.86499999999999	76.86199999999999	76.863	76.881	76.874	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	1	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	0.012	-0.003	-0.001	0.018	-0.008999999999999999	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	2	-1	-1	2	-1	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	39.45213	41.54204	38.96319	47.50867	57.0949	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	45.71375	45.0374	45.32126	50.19489	48.42791	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	-0.1581	-0.2565	-0.27225	-0.0177	-0.083	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	4	4	4	3	3	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	9	12	0.75	76.902	2	5	76.833	4	10	
[2020.11.26 11:09:54 / lib_ea_2.mqh:3176]	29276668	2020.11.26 04:10:00	76.86199999999999	76.863	76.881	76.874	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	-1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-0.003	-0.001	0.018	-0.008999999999999999	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-1	-1	2	-1	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	41.54204	38.96319	47.50867	57.0949	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	45.0374	45.32126	50.19489	48.42791	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	-0.2565	-0.27225	-0.0177	-0.083	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	4	4	3	3	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	8	13	0.615	76.902	2	6	76.833	4	11	
[2020.11.26 11:14:58 / lib_ea_2.mqh:3176]	29276695	2020.11.26 04:15:00	76.863	76.881	76.874	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-0.001	0.018	-0.008999999999999999	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-1	2	-1	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	38.96319	47.50867	57.0949	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	45.32126	50.19489	48.42791	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	-0.27225	-0.0177	-0.083	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	4	3	3	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	8	13	0.615	76.902	2	7	76.803	6	1	
[2020.11.26 11:19:53 / lib_ea_2.mqh:3176]	29276715	2020.11.26 04:20:00	76.881	76.874	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	0.018	-0.008999999999999999	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	2	-1	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	47.50867	57.0949	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	50.19489	48.42791	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	-0.0177	-0.083	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	3	3	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	8	13	0.615	76.902	2	8	76.801	6	1	
[2020.11.26 11:24:56 / lib_ea_2.mqh:3176]	29276729	2020.11.26 04:25:00	76.874	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-0.008999999999999999	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-1	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	57.0949	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	48.42791	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	-0.083	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	3	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	7	14	0.5	76.902	2	9	76.792	6	1	
[2020.11.26 11:29:52 / lib_ea_2.mqh:3176]	29276755	2020.11.26 04:30:00	76.86	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	76.788	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-0.015	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-0.005	-2	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	-1	41.03215	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	30.07244	45.08653	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	35.27327	-0.60975	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	-0.6106	4	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	5	7	14	0.5	76.902	2	10	76.788	5	1	
[2020.11.26 11:34:53 / lib_ea_2.mqh:3176]	29276776	2020.11.26 04:35:00	76.84	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	76.788	76.804	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-0.017	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-0.005	0.016	-2	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	-1	2	38.66574	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	30.07244	35.04204	40.84832	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	35.27327	39.36716	-0.605	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	-0.6106	-0.4032	5	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	5	5	8	13	0.615	76.902	2	11	76.788	5	1	
[2020.11.26 11:39:59 / lib_ea_2.mqh:3176]	29276797	2020.11.26 04:40:00	76.84999999999999	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	76.788	76.804	76.80500000000001	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0.011	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-0.005	0.016	0	2	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	-1	2	-1	36.54331	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	30.07244	35.04204	40.07366	43.63686	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	35.27327	39.36716	39.61841	-0.31625	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	-0.6106	-0.4032	-0.2555	4	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	5	5	5	9	12	0.75	76.902	2	12	76.788	5	2	
[2020.11.26 11:44:56 / lib_ea_2.mqh:3176]	29276816	2020.11.26 04:45:00	76.834	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	76.788	76.804	76.80500000000001	76.813	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-0.015	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-0.005	0.016	0	0.006	-2	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	-1	2	-1	1	34.91224	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	30.07244	35.04204	40.07366	45.11588	40.42706	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	35.27327	39.36716	39.61841	41.65442	-0.351	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	-0.6106	-0.4032	-0.2555	-0.222	5	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	5	5	5	4	9	12	0.75	76.902	2	13	76.788	5	3	
[2020.11.26 11:49:55 / lib_ea_2.mqh:3176]	29276836	2020.11.26 04:50:00	76.834	76.85599999999999	76.855	76.887	76.88200000000001	76.902	76.88500000000001	76.899	76.88500000000001	76.86499999999999	76.84999999999999	76.84099999999999	76.803	76.801	76.792	76.788	76.804	76.80500000000001	76.813	76.822	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-0.001	0.023	-0.001	0.032	0.003	0.021	-0.017	0.015	-0.015	-0.02	-0.016	-0.011	-0.04	-0.002	-0.008999999999999999	-0.005	0.016	0	0.006	0.008999999999999999	-1	3	-1	4	1	3	-2	2	-2	-3	-2	-2	-4	-1	-1	-1	2	-1	1	1	33.24283	35.94328	37.38994	41.32793	45.67071	49.91949	51.35645	55.34608	54.25684	49.42758	45.1472	41.8991	41.83406	37.51177	34.23328	30.07244	35.04204	40.07366	45.11588	49.84103	40.42706	46.43047	46.20767	53.69264	52.49134	56.58158	52.53472	55.30581	52.10382	47.93087	45.08051	43.44863	37.42715	37.14197	35.84812	35.27327	39.36716	39.61841	41.65442	43.89473	-0.342	-0.1909	-0.3237	0.0539	0.0424	0.3107	0.0702	0.5684	0.4623	0.19855	-0.0432	-0.1788	-0.52215	-0.5053	-0.60965	-0.6106	-0.4032	-0.2555	-0.222	-0.078	5	4	4	2	2	1	2	2	3	4	4	5	6	6	6	5	5	5	4	4	10	11	0.909	76.902	2	14	76.788	5	4	
