[2020.11.23 10:19:05 / lib_ea_2.mqh:1962][lib_ea_2.mqh:1950] op_Post_Take_Position
[lib_ea_2.mqh:1955]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201123_101905).(tickets-data).log

[2020.11.23 10:19:05 / lib_ea_2.mqh:2111]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.11.23 10:19:59 / lib_ea_2.mqh:2416]	29237926	2020.11.23 03:20:00	75.85899999999999	75.895	75.922	75.91800000000001	75.91500000000001	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	-0.008	0.037	0.028	-0.004	-0.003	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	-1	4	3	-1	-1	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	72.89881	74.07379	74.53359	74.38769000000001	70.75406	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	51.99442	57.41689	60.90334	60.13554	59.54292	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	0.1128	1.1868	1.2008	1.035	1.674	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	
[2020.11.23 10:24:59 / lib_ea_2.mqh:2416]	29237955	2020.11.23 03:25:00	75.895	75.922	75.91800000000001	75.91500000000001	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	0.037	0.028	-0.004	-0.003	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	4	3	-1	-1	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	74.07379	74.53359	74.38769000000001	70.75406	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	57.41689	60.90334	60.13554	59.54292	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	1.1868	1.2008	1.035	1.674	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	
[2020.11.23 10:30:01 / lib_ea_2.mqh:2416]	29238006	2020.11.23 03:30:00	75.922	75.91800000000001	75.91500000000001	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	0.028	-0.004	-0.003	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	3	-1	-1	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	74.53359	74.38769000000001	70.75406	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	60.90334	60.13554	59.54292	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	1.2008	1.035	1.674	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	
[2020.11.23 10:34:59 / lib_ea_2.mqh:2416]	29238046	2020.11.23 03:35:00	75.91800000000001	75.91500000000001	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	-0.004	-0.003	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	-1	-1	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	74.38769000000001	70.75406	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	60.13554	59.54292	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	1.035	1.674	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	2	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	
[2020.11.23 10:39:59 / lib_ea_2.mqh:2416]	29238081	2020.11.23 03:40:00	75.91500000000001	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	-1	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	-0.003	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	-1	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	70.75406	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	59.54292	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	1.674	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	2	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	
[2020.11.23 10:45:01 / lib_ea_2.mqh:2416]	29238101	2020.11.23 03:45:00	75.917	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	75.974	1	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	0.002	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	0.012	1	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	2	66.47391	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	57.58794	59.82078	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	59.0038	0.5896	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	0.5959	2	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	3	
[2020.11.23 10:50:00 / lib_ea_2.mqh:2416]	29238132	2020.11.23 03:50:00	75.937	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	75.974	75.95099999999999	1	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	0.024	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	0.012	-0.023	3	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	2	-3	60.59609	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	57.58794	55.49756	62.52973	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	59.0038	53.85007	0.973	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	0.5959	0.4471	2	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	3	5	
[2020.11.23 10:54:59 / lib_ea_2.mqh:2416]	29238151	2020.11.23 03:55:00	75.961	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	75.974	75.95099999999999	75.971	1	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	1	0.024	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	0.012	-0.023	0.02	3	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	2	-3	3	59.18354	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	57.58794	55.49756	55.54426	65.47041	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	59.0038	53.85007	57.26662	1.548	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	0.5959	0.4471	0.2465	1	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	3	5	4	
[2020.11.23 10:59:59 / lib_ea_2.mqh:2416]	29238175	2020.11.23 04:00:00	75.968	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	75.974	75.95099999999999	75.971	75.973	1	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	0.007	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	0.012	-0.023	0.02	0.005	1	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	2	-3	3	1	60.44592	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	57.58794	55.49756	55.54426	54.73836	66.28282	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	59.0038	53.85007	57.26662	57.59705	1.98075	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	0.5959	0.4471	0.2465	0.0924	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	3	5	4	3	
[2020.11.23 11:05:03 / lib_ea_2.mqh:2416]	29238206	2020.11.23 04:05:00	75.958	75.976	75.97199999999999	75.96899999999999	75.96299999999999	75.98	75.977	75.958	75.985	76	75.98099999999999	75.983	75.97499999999999	75.96299999999999	75.962	75.974	75.95099999999999	75.971	75.973	75.97	-1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	-1	-0.011	0.02	-0.003	-0.001	-0.007	0.017	-0.004	-0.02	0.027	0.016	-0.018	0.003	-0.007	-0.011	0.001	0.012	-0.023	0.02	0.005	-0.004	-2	2	-1	-1	-1	2	-1	-2	3	2	-2	1	-1	-2	1	2	-3	3	1	-1	62.99919	61.36781	73.52045	66.83242	58.65718	63.32369	63.13798	61.21993	61.96859	66.28579999999999	60.56444	65.88	60.91732	56.61585	52.72121	57.58794	55.49756	55.54426	54.73836	53.26979	64.01784000000001	66.20587	65.27735	64.5625	63.10758	65.43096	64.67435999999999	60.04555	63.90938	65.84117999999999	61.45523	61.73764	59.89001	57.1877	56.96224	59.0038	53.85007	57.26662	57.59705	56.90232	1.755	2.03595	2.4596	1.23585	0.86	0.9266	0.73625	1.0788	1.4224	1.83825	1.6632	2.4056	1.02	0.4633	0.4576	0.5959	0.4471	0.2465	0.0924	0.0136	2	2	2	2	2	2	2	3	2	2	3	3	3	3	4	3	5	4	3	4	
