2016.11.07 15:31;USDCHF
no.;time;close;BB +2s
1;1478530800;0.97725;0.97828452
2;1478527200;0.97682;0.97776215
3;1478523600;0.97608;0.97724743
4;1478520000;0.97548;0.97698675
5;1478516400;0.97551;0.97689726
6;1478512800;0.97386;0.97694037
7;1478509200;0.97359;0.9771258
8;1478505600;0.97445;0.97730393
9;1478502000;0.97478;0.97742164
10;1478322000;0.96806;0.97746419
11;1478318400;0.96887;0.97745316
12;1478314800;0.97025;0.97747645
13;1478311200;0.97025;0.97751225
14;1478307600;0.96911;0.97750684
15;1478304000;0.96829;0.9773
16;1478300400;0.9703;0.9767369
17;1478296800;0.97099;0.97646251
18;1478293200;0.97177;0.97619824
19;1478289600;0.97134;0.97605785
20;1478286000;0.97339;0.97562793
21;1478282400;0.9741;0.97558745
22;1478278800;0.97367;0.97567397
23;1478275200;0.97462;0.97566731
24;1478271600;0.97498;0.97573198
25;1478268000;0.97573;0.97579694
26;1478264400;0.97513;0.97571639
27;1478260800;0.97494;0.97567102
28;1478257200;0.97523;0.97601004
29;1478253600;0.97506;0.97620146
30;1478250000;0.97427;0.97617024
31;1478246400;0.97448;0.97622687
32;1478242800;0.97391;0.97625576
33;1478239200;0.97385;0.97634434
34;1478235600;0.97389;0.97627022
35;1478232000;0.9739;0.97614458
36;1478228400;0.97413;0.97606252
37;1478224800;0.9737;0.97595438
38;1478221200;0.97466;0.97589607
39;1478217600;0.97449;0.97569636
40;1478214000;0.97443;0.97557641
41;1478210400;0.9752;0.97539732
42;1478206800;0.97478;0.97494641
43;1478203200;0.9733;0.97452571
44;1478199600;0.97286;0.97442365
45;1478196000;0.97255;0.97433041
46;1478192400;0.97276;0.97424307
47;1478188800;0.97071;0.97424037
48;1478185200;0.97028;0.97424159
49;1478181600;0.97094;0.97428206
50;1478178000;0.9706;0.97432468
51;1478174400;0.9701;0.97431569
52;1478170800;0.96961;0.97425734
53;1478167200;0.97074;0.97448495
54;1478163600;0.97209;0.97457856
55;1478160000;0.9731;0.97464085
56;1478156400;0.97319;0.97465152
57;1478152800;0.97314;0.97469328
58;1478149200;0.97323;0.97476731
59;1478145600;0.97372;0.97507662
60;1478142000;0.97318;0.9753631
61;1478138400;0.97218;0.97565295
62;1478134800;0.9718;0.97592418
63;1478131200;0.97008;0.97624569
64;1478127600;0.97038;0.97645348
65;1478124000;0.97119;0.97637095
66;1478120400;0.97274;0.97649063
