2016.11.07 13:38
no.;time;high;BB.+2s
1;2016.11.07 13:38;104.48135436;104.292
2;2016.11.07 12:38;104.36637432;104.283
3;2016.11.07 11:38;104.22698389;104.288
4;2016.11.07 10:38;104.06406996;104.145
5;2016.11.07 09:38;103.91037298;104.205
6;2016.11.07 08:38;103.77832269;104.484
7;2016.11.07 07:38;103.52165098;103.978
8;2016.11.07 06:38;103.29805971;103.1
9;2016.11.07 05:38;103.29901802;103.143
10;2016.11.07 04:38;103.2999436;103.198
11;2016.11.07 03:38;103.29576917;103.201
12;2016.11.07 02:38;103.28149785;103.094
13;2016.11.07 01:38;103.2799777;103.237
14;2016.11.07 00:38;103.28131931;103.195
15;2016.11.06 23:38;103.26853066;103.104
16;2016.11.06 22:38;103.26562343;103.285
17;2016.11.06 21:38;103.26810167;102.976
18;2016.11.06 20:38;103.27906785;103.021
19;2016.11.06 19:38;103.2805208;103.052
20;2016.11.06 18:38;103.30723661;103.246
21;2016.11.06 17:38;103.32393363;103.353
22;2016.11.06 16:38;103.31369218;103.352
23;2016.11.06 15:38;103.26596891;103.273
24;2016.11.06 14:38;103.23790452;103.091
25;2016.11.06 13:38;103.23762946;103.101
26;2016.11.06 12:38;103.27710114;103.135
27;2016.11.06 11:38;103.28327123;103.095
28;2016.11.06 10:38;103.28012638;103.201
29;2016.11.06 09:38;103.28780927;103.067
30;2016.11.06 08:38;103.30156064;102.989
31;2016.11.06 07:38;103.30081598;102.987
32;2016.11.06 06:38;103.32925782;102.981
33;2016.11.06 05:38;103.36427676;103.045
34;2016.11.06 04:38;103.42467056;103.017
35;2016.11.06 03:38;103.46795056;103.07
36;2016.11.06 02:38;103.50500254;103.191
37;2016.11.06 01:38;103.53171974;103.233
38;2016.11.06 00:38;103.56605382;103.316
39;2016.11.05 23:38;103.59143125;103.292
40;2016.11.05 22:38;103.59837537;103.264
41;2016.11.05 21:38;103.58967693;103.275
42;2016.11.05 20:38;103.59402177;103.119
43;2016.11.05 19:38;103.6083136;102.957
44;2016.11.05 18:38;103.62060932;102.986
45;2016.11.05 17:38;103.64311745;102.753
46;2016.11.05 16:38;103.6298244;102.848
47;2016.11.05 15:38;103.63414367;102.84
48;2016.11.05 14:38;103.66264178;102.756
49;2016.11.05 13:38;103.69407762;102.889
50;2016.11.05 12:38;103.66154951;103.246
51;2016.11.05 11:38;103.71998361;103.395
52;2016.11.05 10:38;103.79797354;103.443
53;2016.11.05 09:38;103.83159578;103.423
54;2016.11.05 08:38;103.88034514;103.365
55;2016.11.05 07:38;103.91133851;103.355
56;2016.11.05 06:38;103.97236641;103.454
57;2016.11.05 05:38;104.06378927;103.486
58;2016.11.05 04:38;104.14608844;103.449
59;2016.11.05 03:38;104.19861139;103.332
60;2016.11.05 02:38;104.2573523;103.261
61;2016.11.05 01:38;104.30336921;103.335
62;2016.11.05 00:38;104.32902784;103.297
63;2016.11.04 23:38;104.32923873;103.385
64;2016.11.04 22:38;104.35179194;103.363
65;2016.11.04 21:38;104.38911698;103.452
66;2016.11.04 20:38;104.47040717;103.559
67;2016.11.04 19:38;104.55691497;103.716
68;2016.11.04 18:38;104.68773893;103.672
69;2016.11.04 17:38;104.82087933;103.933
70;2016.11.04 16:38;104.91333643;103.871
71;2016.11.04 15:38;105.03114204;103.901
72;2016.11.04 14:38;105.12160507;103.853
73;2016.11.04 13:38;105.20724078;103.855
74;2016.11.04 12:38;105.25958922;103.892
75;2016.11.04 11:38;105.27008579;104.085
76;2016.11.04 10:38;105.28884075;104.164
77;2016.11.04 09:38;105.3170734;104.118
78;2016.11.04 08:38;105.3370094;104.073
79;2016.11.04 07:38;105.33220572;104.113
80;2016.11.04 06:38;105.32656672;104.16
81;2016.11.04 05:38;105.31508299;104.123
82;2016.11.04 04:38;105.28090865;104.202
83;2016.11.04 03:38;105.1945538;104.376
84;2016.11.04 02:38;105.12598439;104.615
85;2016.11.04 01:38;105.03934254;104.639
86;2016.11.04 00:38;105.01768477;104.874
87;2016.11.03 23:38;105.00140222;104.9
88;2016.11.03 22:38;105.01663896;104.958
89;2016.11.03 21:38;105.04957967;104.995
90;2016.11.03 20:38;105.0782557;105.032
